title,album,year
Young Dumb & Broke,American Teen,2017.0
Location,American Teen,2016.0
Better,Suncity,2018.0
Talk,Free Spirit,2019.0
Saved,American Teen,2017.0
Coaster,American Teen,2016.0
OTW,,2018.0
Saturday Nights,Suncity,2018.0
8TEEN,American Teen,2017.0
Suncity,Suncity,2018.0
American Teen,American Teen,2017.0
Therapy,American Teen,2017.0
Another Sad Love Song,American Teen,2017.0
Shot Down,American Teen,2017.0
Angels,American Teen,2017.0
Reasons,,2016.0
Cold Blooded,American Teen,2017.0
My Bad,Free Spirit,2019.0
Vertigo,Suncity,2018.0
Eleven,K3*,2020.0
Winter,American Teen,2017.0
Let’s Go,American Teen,2016.0
Hopeless,American Teen,2016.0
Location (Remix),,2017.0
Motion,Suncity,2018.0
Keep Me,American Teen,2017.0
Bad Luck,Free Spirit,2019.0
Right Back (Remix),So Fresh: The Hits of Spring 2019,2019.0
Right Back,Free Spirit,2019.0
Self,Free Spirit,2019.0
Free Spirit,Free Spirit,2019.0
Hundred,Free Spirit,2019.0
Up All Night,K3*,2019.0
Don’t Pretend,Free Spirit,2019.0
Intro,Free Spirit,2019.0
Young Dumb & Broke (Remix),American Teen: Music From the Motion Picture,2017.0
Alive,Free Spirit,2019.0
Paradise,Free Spirit,2019.0
Saturday Nights REMIX,,2019.0
Stay,The Uncle Drew Motion Picture Soundtrack,2018.0
Heaven,Free Spirit,2019.0
Twenty One,Free Spirit,2019.0
Bluffin’,Free Spirit,2019.0
Stuck On U,,
Salem’s Interlude,Suncity,2018.0
Would You,,
Let’s Go (Remix),,2017.0
Perfect,,2017.0
Eleven (Remix),K3*,2020.0
Location (London Remix),,2017.0
Location (Jorja Smith & Wretch 32 Remix),,2018.0
Fast Car,,2018.0
Talk (Disclosure VIP),The Annual 2020,2019.0
OTW (BURNS Version),,2018.0
​wildflower (rough),K3*,2020.0
Better (noclue? Remix),,2018.0
Young dumb,,2017.0
Khalid - Vertigo  (Tradução Português),,2018.0
Better (Miles Away Remix),,2018.0
Khalid - Better (Official Music Video),,2018.0
Better (Rennie! Remix),,2019.0
